clip_id,split,video_file,meeting_id,camera,clip_start_s,clip_end_s,video_path,thumbnail_path,rater_1_label,rater_2_label,adjudicated_label,gold_label,annotator,adjudicator,exclude_from_gold,agreement_status,notes,suggested_label,suggested_confidence,face_detected_ratio,suggestion_summary
EN2002a-C-1601.41-1605.86,dev,EN2002a-C-1601.41-1605.86-video.mp4,EN2002a,speaker_C,0.000,4.450,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2002a-C-1601.41-1605.86-video.mp4,thumbnails/EN2002a-C-1601.41-1605.86.jpg,,,,negative,,,,,,negative,0.655,0.667,convnext_tiny_emotion=negative (0.655); vit_face_expression=neutral (0.565)
EN2002c-B-1679.57-1682.58,dev,EN2002c-B-1679.57-1682.58-video.mp4,EN2002c,speaker_B,0.000,3.010,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2002c-B-1679.57-1682.58-video.mp4,thumbnails/EN2002c-B-1679.57-1682.58.jpg,,,,negative,,,,,,negative,0.977,1.000,convnext_tiny_emotion=negative (0.977); vit_face_expression=positive (0.537)
EN2002d-C-187.12-190.90,dev,EN2002d-C-187.12-190.90-video.mp4,EN2002d,speaker_C,0.000,3.780,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2002d-C-187.12-190.90-video.mp4,thumbnails/EN2002d-C-187.12-190.90.jpg,,,,positive,,,,,,negative,0.737,1.000,convnext_tiny_emotion=negative (0.737); vit_face_expression=neutral (0.590)
EN2006a-B-626.68-630.26,dev,EN2006a-B-626.68-630.26-video.mp4,EN2006a,speaker_B,0.000,3.580,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2006a-B-626.68-630.26-video.mp4,thumbnails/EN2006a-B-626.68-630.26.jpg,,,,neutral,,,,,,neutral,0.933,0.000,vit_face_expression=neutral (0.933); convnext_tiny_emotion=negative (0.600)
EN2006a-C-273.11-276.88,dev,EN2006a-C-273.11-276.88-video.mp4,EN2006a,speaker_C,0.000,3.770,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2006a-C-273.11-276.88-video.mp4,thumbnails/EN2006a-C-273.11-276.88.jpg,,,,negative,,,,,,negative,0.690,1.000,convnext_tiny_emotion=negative (0.690); vit_face_expression=neutral (0.492)
EN2006b-A-1882.91-1887.53,dev,EN2006b-A-1882.91-1887.53-video.mp4,EN2006b,speaker_A,0.000,4.620,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/EN2006b-A-1882.91-1887.53-video.mp4,thumbnails/EN2006b-A-1882.91-1887.53.jpg,,,,negative,,,,,,negative,0.902,0.000,vit_face_expression=negative (0.902); convnext_tiny_emotion=negative (0.784)
ES2002d-C-2338.85-2342.02,dev,ES2002d-C-2338.85-2342.02-video.mp4,ES2002d,speaker_C,0.000,3.170,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2002d-C-2338.85-2342.02-video.mp4,thumbnails/ES2002d-C-2338.85-2342.02.jpg,positive,,,positive,jorgeiv500,,,,,negative,0.735,1.000,convnext_tiny_emotion=negative (0.735); vit_face_expression=neutral (0.494)
ES2004c-C-1635.06-1638.16,dev,ES2004c-C-1635.06-1638.16-video.mp4,ES2004c,speaker_C,0.000,3.100,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2004c-C-1635.06-1638.16-video.mp4,thumbnails/ES2004c-C-1635.06-1638.16.jpg,,,,negative,,,,,,negative,0.704,1.000,convnext_tiny_emotion=negative (0.704); vit_face_expression=neutral (0.446)
ES2004d-A-1221.01-1224.64,dev,ES2004d-A-1221.01-1224.64-video.mp4,ES2004d,speaker_A,0.000,3.630,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2004d-A-1221.01-1224.64-video.mp4,thumbnails/ES2004d-A-1221.01-1224.64.jpg,,,,negative,,,,,,negative,0.736,0.000,convnext_tiny_emotion=negative (0.736); vit_face_expression=neutral (0.592)
ES2004d-A-1371.75-1376.25,dev,ES2004d-A-1371.75-1376.25-video.mp4,ES2004d,speaker_A,0.000,4.500,/Users/jorgeiv500/Documents/fer-meetings/data/raw/hf/ami_av/video_segments/original_videos/ES2004d-A-1371.75-1376.25-video.mp4,thumbnails/ES2004d-A-1371.75-1376.25.jpg,,,,negative,,,,,,negative,0.966,1.000,convnext_tiny_emotion=negative (0.966); vit_face_expression=negative (0.553)
