clip_id,split,rater_1_label,rater_2_label,agreement_status
EN2002a-C-1601.41-1605.86,dev,negative,neutral,disagree
EN2002c-B-1679.57-1682.58,dev,negative,positive,disagree
EN2002d-C-187.12-190.90,dev,positive,positive,agree
EN2006a-B-626.68-630.26,dev,neutral,neutral,agree
EN2006a-C-273.11-276.88,dev,negative,negative,agree
EN2006b-A-1882.91-1887.53,dev,negative,negative,agree
ES2002d-C-2338.85-2342.02,dev,positive,negative,disagree
ES2004c-C-1635.06-1638.16,dev,negative,negative,agree
ES2004d-A-1221.01-1224.64,dev,negative,negative,agree
ES2004d-A-1371.75-1376.25,dev,negative,neutral,disagree
ES2006b-C-2148.70-2151.95,dev,negative,negative,agree
ES2006d-B-805.25-810.03,dev,positive,neutral,disagree
ES2006d-D-301.52-304.79,dev,negative,neutral,disagree
ES2008b-B-888.26-892.96,dev,neutral,neutral,agree
ES2008c-B-454.21-457.31,dev,negative,negative,agree
ES2010b-B-1041.20-1045.82,dev,neutral,neutral,agree
ES2012b-A-1836.99-1841.16,dev,neutral,neutral,agree
ES2012b-C-1573.98-1577.63,dev,negative,negative,agree
ES2012c-A-2199.86-2204.17,dev,negative,negative,agree
ES2012c-C-2172.52-2175.90,dev,negative,neutral,disagree
ES2014b-B-536.43-539.87,dev,neutral,neutral,agree
ES2014d-D-1672.92-1677.50,dev,neutral,neutral,agree
ES2014d-D-814.50-817.86,dev,neutral,neutral,agree
IN1008-D-1371.22-1374.70,dev,neutral,neutral,agree
IS1000a-B-426.42-429.49,dev,neutral,neutral,agree
IS1000c-B-110.34-113.54,dev,negative,neutral,disagree
IS1000d-A-1355.46-1360.22,dev,neutral,neutral,agree
IS1002b-B-2076.05-2080.59,dev,negative,neutral,disagree
IS1002b-D-1405.12-1409.95,dev,neutral,neutral,agree
IS1004c-A-1351.43-1356.14,dev,negative,positive,disagree
IS1004c-D-607.18-612.06,dev,positive,positive,agree
IS1004d-B-1101.56-1104.65,dev,positive,positive,agree
IS1004d-B-836.75-841.57,dev,negative,neutral,disagree
IS1006a-A-590.74-593.76,dev,neutral,neutral,agree
IS1006b-A-1491.34-1495.00,dev,neutral,neutral,agree
IS1006c-D-567.60-572.54,dev,positive,positive,agree
IS1006d-A-1531.94-1535.58,dev,positive,positive,agree
IS1008d-B-105.76-109.92,dev,positive,positive,agree
TS3004a-D-1261.48-1266.00,dev,neutral,neutral,agree
TS3004b-A-1245.44-1249.69,dev,neutral,neutral,agree
TS3004b-D-1685.40-1688.67,dev,neutral,neutral,agree
