model_name,model_family,hf_model_id,scope,method,gold_label,negative,neutral,positive
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,single_frame,negative,27,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,single_frame,neutral,44,7,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,single_frame,positive,22,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,smoothed,negative,27,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,smoothed,neutral,47,4,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,smoothed,positive,22,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,vote,negative,27,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,vote,neutral,46,5,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,all,vote,positive,21,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,single_frame,negative,19,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,single_frame,neutral,19,2,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,single_frame,positive,10,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,smoothed,negative,19,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,smoothed,neutral,20,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,smoothed,positive,10,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,vote,negative,19,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,vote,neutral,20,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,dev,vote,positive,9,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,single_frame,negative,8,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,single_frame,neutral,25,5,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,single_frame,positive,12,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,smoothed,negative,8,0,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,test,smoothed,neutral,27,3,0
