clip_id,split,video_file,meeting_id,camera,clip_start_s,clip_end_s,gold_label,label_source,exclude_from_gold,agreement_status,rater_1_label,rater_2_label,adjudicated_label,annotator,adjudicator,notes
EN2002a-C-1601.41-1605.86,dev,EN2002a-C-1601.41-1605.86-video.mp4,EN2002a,speaker_C,0.000,4.450,negative,gold_label,false,disagree,negative,neutral,,,,
EN2002c-B-1679.57-1682.58,dev,EN2002c-B-1679.57-1682.58-video.mp4,EN2002c,speaker_B,0.000,3.010,negative,gold_label,false,disagree,negative,positive,,,,
EN2002d-C-187.12-190.90,dev,EN2002d-C-187.12-190.90-video.mp4,EN2002d,speaker_C,0.000,3.780,positive,gold_label,false,agree,positive,positive,,,,
EN2006a-B-626.68-630.26,dev,EN2006a-B-626.68-630.26-video.mp4,EN2006a,speaker_B,0.000,3.580,neutral,gold_label,false,agree,neutral,neutral,,,,
EN2006a-C-273.11-276.88,dev,EN2006a-C-273.11-276.88-video.mp4,EN2006a,speaker_C,0.000,3.770,negative,gold_label,false,agree,negative,negative,,,,
EN2006b-A-1882.91-1887.53,dev,EN2006b-A-1882.91-1887.53-video.mp4,EN2006b,speaker_A,0.000,4.620,negative,gold_label,false,agree,negative,negative,,,,
ES2002d-C-2338.85-2342.02,dev,ES2002d-C-2338.85-2342.02-video.mp4,ES2002d,speaker_C,0.000,3.170,positive,gold_label,false,disagree,positive,negative,,jorgeiv500,,
ES2004c-C-1635.06-1638.16,dev,ES2004c-C-1635.06-1638.16-video.mp4,ES2004c,speaker_C,0.000,3.100,negative,gold_label,false,agree,negative,negative,,,,
ES2004d-A-1221.01-1224.64,dev,ES2004d-A-1221.01-1224.64-video.mp4,ES2004d,speaker_A,0.000,3.630,negative,gold_label,false,agree,negative,negative,,,,
ES2004d-A-1371.75-1376.25,dev,ES2004d-A-1371.75-1376.25-video.mp4,ES2004d,speaker_A,0.000,4.500,negative,gold_label,false,disagree,negative,neutral,,,,
ES2006b-C-2148.70-2151.95,dev,ES2006b-C-2148.70-2151.95-video.mp4,ES2006b,speaker_C,0.000,3.250,negative,gold_label,false,agree,negative,negative,,jorgeiv500,,
ES2006d-B-805.25-810.03,dev,ES2006d-B-805.25-810.03-video.mp4,ES2006d,speaker_B,0.000,4.780,positive,gold_label,false,disagree,positive,neutral,,,,
ES2006d-D-301.52-304.79,dev,ES2006d-D-301.52-304.79-video.mp4,ES2006d,speaker_D,0.000,3.270,negative,gold_label,false,disagree,negative,neutral,,,,
ES2008b-B-888.26-892.96,dev,ES2008b-B-888.26-892.96-video.mp4,ES2008b,speaker_B,0.000,4.700,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2008c-B-454.21-457.31,dev,ES2008c-B-454.21-457.31-video.mp4,ES2008c,speaker_B,0.000,3.100,negative,gold_label,false,agree,negative,negative,,,,
ES2010b-B-1041.20-1045.82,dev,ES2010b-B-1041.20-1045.82-video.mp4,ES2010b,speaker_B,0.000,4.620,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2012b-A-1836.99-1841.16,dev,ES2012b-A-1836.99-1841.16-video.mp4,ES2012b,speaker_A,0.000,4.170,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2012b-C-1573.98-1577.63,dev,ES2012b-C-1573.98-1577.63-video.mp4,ES2012b,speaker_C,0.000,3.650,negative,gold_label,false,agree,negative,negative,,,,
ES2012c-A-2199.86-2204.17,dev,ES2012c-A-2199.86-2204.17-video.mp4,ES2012c,speaker_A,0.000,4.310,negative,gold_label,false,agree,negative,negative,,,,
ES2012c-C-2172.52-2175.90,dev,ES2012c-C-2172.52-2175.90-video.mp4,ES2012c,speaker_C,0.000,3.380,negative,gold_label,false,disagree,negative,neutral,,,,
ES2014b-B-536.43-539.87,dev,ES2014b-B-536.43-539.87-video.mp4,ES2014b,speaker_B,0.000,3.440,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2014d-D-1672.92-1677.50,dev,ES2014d-D-1672.92-1677.50-video.mp4,ES2014d,speaker_D,0.000,4.580,neutral,gold_label,false,agree,neutral,neutral,,,,
ES2014d-D-814.50-817.86,dev,ES2014d-D-814.50-817.86-video.mp4,ES2014d,speaker_D,0.000,3.360,neutral,gold_label,false,agree,neutral,neutral,,,,
IN1008-D-1371.22-1374.70,dev,IN1008-D-1371.22-1374.70-video.mp4,IN1008,speaker_D,0.000,3.480,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1000a-B-426.42-429.49,dev,IS1000a-B-426.42-429.49-video.mp4,IS1000a,speaker_B,0.000,3.070,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1000c-B-110.34-113.54,dev,IS1000c-B-110.34-113.54-video.mp4,IS1000c,speaker_B,0.000,3.200,negative,gold_label,false,disagree,negative,neutral,,,,
IS1000d-A-1355.46-1360.22,dev,IS1000d-A-1355.46-1360.22-video.mp4,IS1000d,speaker_A,0.000,4.760,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1002b-B-2076.05-2080.59,dev,IS1002b-B-2076.05-2080.59-video.mp4,IS1002b,speaker_B,0.000,4.540,negative,gold_label,false,disagree,negative,neutral,,,,
IS1002b-D-1405.12-1409.95,dev,IS1002b-D-1405.12-1409.95-video.mp4,IS1002b,speaker_D,0.000,4.830,neutral,gold_label,false,agree,neutral,neutral,,,,
IS1004c-A-1351.43-1356.14,dev,IS1004c-A-1351.43-1356.14-video.mp4,IS1004c,speaker_A,0.000,4.710,negative,gold_label,false,disagree,negative,positive,,,,
IS1004c-D-607.18-612.06,dev,IS1004c-D-607.18-612.06-video.mp4,IS1004c,speaker_D,0.000,4.880,positive,gold_label,false,agree,positive,positive,,,,
