model_name,model_family,hf_model_id,method,gold_label,negative,neutral,positive
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_logreg,negative,6,2,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_logreg,neutral,10,15,5
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_logreg,positive,7,2,3
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_logreg_coral,negative,4,3,1
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_logreg_coral,neutral,8,15,7
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_logreg_coral,positive,6,3,3
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_mmd_adapter,negative,7,1,0
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_mmd_adapter,neutral,8,20,2
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_mmd_adapter,positive,7,2,3
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_hgb,negative,5,0,3
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_hgb,neutral,11,16,3
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,mean_embedding_hgb,positive,11,0,1
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,attention_pooling,negative,6,0,2
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,attention_pooling,neutral,8,19,3
convnext_tiny_emotion,cnn,firedfrog/convnext-tiny-224-emotion-prediction,attention_pooling,positive,7,1,4
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg,negative,8,0,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg,neutral,11,18,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg,positive,7,0,5
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg_coral,negative,3,3,2
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg_coral,neutral,12,13,5
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg_coral,positive,6,2,4
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_mmd_adapter,negative,1,7,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_mmd_adapter,neutral,3,25,2
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_mmd_adapter,positive,7,1,4
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_hgb,negative,7,0,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_hgb,neutral,11,18,1
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_hgb,positive,9,1,2
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,negative,7,1,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,neutral,10,20,0
vit_face_expression,vit,mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,positive,7,0,5
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg,negative,8,0,0
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg,neutral,10,20,0
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_logreg,positive,7,0,5
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_mmd_adapter,negative,6,1,1
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_mmd_adapter,neutral,9,21,0
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_mmd_adapter,positive,6,1,5
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_hgb,negative,6,1,1
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_hgb,neutral,13,16,1
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,mean_embedding_hgb,positive,8,0,4
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,negative,6,1,1
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,neutral,8,21,1
cnn_vit_fusion,hybrid,firedfrog/convnext-tiny-224-emotion-prediction + mo-thecreator/vit-Facial-Expression-Recognition,attention_pooling,positive,5,1,6
